Subject	Sex	Trial	TrialType	Item	Phonology	Novelty	UttCode	Experiment
206	M	30	critical	agask	A	novel	RC	2
206	M	31	filler	strong	non-A	real	RC	2
206	M	32	critical	floating	non-A	real	A	2
207	M	1	filler	lies	non-A	real	RC	2
207	M	2	critical	adax	A	novel	A	2
207	M	3	filler	golfs	non-A	real	RC	2
207	M	4	critical	ablim	A	novel	RC	2
207	M	5	filler	votes	non-A	real	RC	2
207	M	6	critical	chammy	non-A	novel	A	2
207	M	7	filler	bad	non-A	real	A	2
207	M	8	critical	living	non-A	real	A	2
207	M	9	filler	smokes	non-A	real	RC	2
207	M	10	critical	gecky	non-A	novel	RC	2
207	M	11	filler	good	non-A	real	A	2
207	M	12	critical	alive	A	real	RC	2
207	M	13	filler	old	non-A	real	RC	2
207	M	14	critical	flitzy	non-A	novel	A	2
207	M	15	filler	young	non-A	real	RC	2
207	M	16	critical	asleep	A	real	RC	2
207	M	17	filler	snowboards	non-A	real	RC	2
207	M	18	critical	floating	non-A	real	A	2
207	M	19	filler	fast	non-A	real	A	2
207	M	20	critical	slooky	non-A	novel	A	2
207	M	21	filler	gambles	non-A	real	RC	2
207	M	22	critical	afloat	A	real	RC	2
207	M	23	filler	slow	non-A	real	A	2
207	M	24	critical	sleepy	non-A	real	A	2
207	M	25	filler	weak	non-A	real	A	2
207	M	26	critical	afraz	A	novel	RC	2
207	M	27	filler	bites	non-A	real	RC	2
207	M	28	critical	afraid	A	real	RC	2
207	M	29	filler	strong	non-A	real	A	2
207	M	30	critical	agask	A	novel	RC	2
207	M	31	filler	cheats	non-A	real	RC	2
207	M	32	critical	frightened	non-A	real	A	2
208	F	1	filler	bites	non-A	real	RC	2
208	F	2	critical	sleepy	non-A	real	A	2
208	F	3	filler	fast	non-A	real	A	2
208	F	4	critical	ablim	A	novel	RC	2
208	F	5	filler	smokes	non-A	real	RC	2
208	F	6	critical	slooky	non-A	novel	A	2
208	F	7	filler	young	non-A	real	A	2
208	F	8	critical	adax	A	novel	RC	2
208	F	9	filler	slow	non-A	real	A	2
208	F	10	critical	floating	non-A	real	A	2
208	F	11	filler	snowboards	non-A	real	RC	2
208	F	12	critical	living	non-A	real	A	2
208	F	13	filler	votes	non-A	real	RC	2
208	F	14	critical	asleep	A	real	RC	2
208	F	15	filler	lies	non-A	real	RC	2
208	F	16	critical	flitzy	non-A	novel	A	2
208	F	17	filler	bad	non-A	real	A	2
208	F	18	critical	afraid	A	real	RC	2
208	F	19	filler	cheats	non-A	real	RC	2
208	F	20	critical	agask	A	novel	RC	2
208	F	21	filler	old	non-A	real	A	2
208	F	22	critical	frightened	non-A	real	A	2
208	F	23	filler	strong	non-A	real	A	2
208	F	24	critical	gecky	non-A	novel	A	2
208	F	25	filler	gambles	non-A	real	RC	2
208	F	26	critical	alive	A	real	RC	2
208	F	27	filler	weak	non-A	real	A	2
208	F	28	critical	afloat	A	real	RC	2
208	F	29	filler	golfs	non-A	real	RC	2
208	F	30	critical	afraz	A	novel	A	2
208	F	31	filler	good	non-A	real	A	2
208	F	32	critical	chammy	non-A	novel	A	2
209	M	1	filler	strong	non-A	real	A	2
209	M	2	critical	agask	A	novel	RC	2
209	M	3	filler	old	non-A	real	A	2
209	M	4	critical	asleep	A	real	RC	2
209	M	5	filler	gambles	non-A	real	RC	2
209	M	6	critical	chammy	non-A	novel	A	2
209	M	7	filler	bad	non-A	real	A	2
209	M	8	critical	afraz	A	novel	RC	2
209	M	9	filler	young	non-A	real	A	2
209	M	10	critical	living	non-A	real	A	2
209	M	11	filler	snowboards	non-A	real	RC	2
209	M	12	critical	frightened	non-A	real	A	2
